Date,Close
11/2/2020,330.2
11/3/2020,336.03
11/4/2020,343.54
11/5/2020,350.24
11/6/2020,350.16
11/9/2020,354.56
11/10/2020,354.04
11/11/2020,356.67
11/12/2020,353.21
11/13/2020,358.1
11/16/2020,362.57
11/17/2020,360.62
11/18/2020,356.28
11/19/2020,357.78
11/20/2020,355.33
11/23/2020,357.46
11/24/2020,363.22
11/25/2020,362.66
11/27/2020,363.67
11/30/2020,362.06
12/1/2020,366.02
12/2/2020,366.79
12/3/2020,366.69
12/4/2020,369.85
12/7/2020,369.09
12/8/2020,370.17
12/9/2020,366.85
12/10/2020,366.73
12/11/2020,366.3
12/14/2020,364.66
12/15/2020,369.59
12/16/2020,370.17
12/17/2020,372.24
12/18/2020,369.18
12/21/2020,367.86
12/22/2020,367.24
12/23/2020,367.57
12/24/2020,369
12/28/2020,372.17
12/29/2020,371.46
12/30/2020,371.99
12/31/2020,373.88
1/4/2021,368.79
1/5/2021,371.33
1/6/2021,373.55
1/7/2021,379.1
1/8/2021,381.26
1/11/2021,378.69
1/12/2021,378.77
1/13/2021,379.79
1/14/2021,378.46
1/15/2021,375.7
1/19/2021,378.65
1/20/2021,383.89
1/21/2021,384.24
1/22/2021,382.88
1/25/2021,384.39
1/26/2021,383.79
1/27/2021,374.41
1/28/2021,377.63
1/29/2021,370.07
2/1/2021,376.23
2/2/2021,381.55
2/3/2021,381.85
2/4/2021,386.19
2/5/2021,387.71
2/8/2021,390.51
2/9/2021,390.25
2/10/2021,390.08
2/11/2021,390.71
2/12/2021,392.64
2/16/2021,392.3
2/17/2021,392.39
2/18/2021,390.72
2/19/2021,390.03
2/22/2021,387.03
2/23/2021,387.5
2/24/2021,391.77
2/25/2021,382.33
2/26/2021,380.36
3/1/2021,389.58
3/2/2021,386.54
3/3/2021,381.42
3/4/2021,376.7
3/5/2021,383.63
3/8/2021,381.72
3/9/2021,387.17
3/10/2021,389.58
3/11/2021,393.53
3/12/2021,394.06
3/15/2021,396.41
3/16/2021,395.91
3/17/2021,397.26
3/18/2021,391.48
3/19/2021,389.48
3/22/2021,392.59
3/23/2021,389.5
3/24/2021,387.52
3/25/2021,389.7
3/26/2021,395.98
3/29/2021,395.78
3/30/2021,394.73
3/31/2021,396.33
4/1/2021,400.61
4/5/2021,406.36
4/6/2021,406.12
4/7/2021,406.59
4/8/2021,408.52
4/9/2021,411.49
4/12/2021,411.64
4/13/2021,412.86
4/14/2021,411.45
4/15/2021,415.87
4/16/2021,417.26
4/19/2021,415.21
4/20/2021,412.17
4/21/2021,416.07
4/22/2021,412.27
4/23/2021,416.74
4/26/2021,417.61
4/27/2021,417.52
4/28/2021,417.4
4/29/2021,420.06
4/30/2021,417.3
5/3/2021,418.2
5/4/2021,415.62
5/5/2021,415.75
5/6/2021,419.07
5/7/2021,422.12
5/10/2021,417.94
5/11/2021,414.21
5/12/2021,405.41
5/13/2021,410.28
5/14/2021,416.58
5/17/2021,415.52
5/18/2021,411.94
5/19/2021,410.86
5/20/2021,415.28
5/21/2021,414.94
5/24/2021,419.17
5/25/2021,418.24
5/26/2021,419.07
5/27/2021,419.29
